Noise Frame Index|Cycle FFT|Cycle Filter|Cycle Min|Cycle Sub
-----------------|---------|------------|---------|---------
0		 |0	   |44		|9	  |60    
1		 |0	   |44		|4	  |63
2		 |0	   |44		|4	  |63
3		 |0	   |43		|4	  |67
4		 |0	   |191		|4	  |184	
5		 |0	   |190		|3	  |89	
6		 |0	   |190		|3	  |89	
7		 |0	   |190		|3	  |181	
8	 	 |0	   |190		|3	  |89	
9	 	 |0	   |202		|4	  |91	
10	 	 |0	   |191		|4	  |185	
11	 	 |0	   |190		|3	  |89	
12	 	 |0	   |190		|3	  |89	
13		 |0	   |191		|4	  |184	
14		 |0	   |190		|3	  |89	
15		 |0	   |202		|4	  |90	
16		 |0	   |190		|3	  |184	
17		 |0	   |295		|4	  |92	
18		 |0	   |191		|4	  |90	
19		 |0	   |190		|3	  |183	
20		 |0	   |190		|3	  |89	
21		 |0	   |190		|3	  |89	
22		 |0	   |191		|4	  |184	
23		 |0	   |190		|3	  |89	
24		 |0	   |191		|4	  |90	
25		 |0	   |190		|3	  |185	
26		 |0	   |191		|4	  |90	
27		 |0	   |191		|4	  |90	
28		 |0	   |190		|3	  |184	
29		 |0	   |191		|4	  |90	
30		 |0	   |191		|4	  |90	
31		 |0	   |191		|4	  |184	
32		 |0	   |202		|3	  |89	
33		 |0	   |190		|3	  |89	
34		 |0	   |190		|3	  |183	
35		 |0	   |191		|4 	  |90	
36		 |0	   |191		|4	  |90	
37		 |0	   |190		|3	  |181	
38		 |0	   |190		|3	  |89	
39		 |0	   |191		|4	  |90	
40		 |0	   |191		|4	  |185	
41		 |0	   |190		|3	  |89	
42		 |0	   |190		|3	  |89	
43		 |0	   |191		|4	  |184	
44		 |0	   |202		|3	  |89	
45		 |0	   |191		|4	  |90	
46		 |0	   |191		|4	  |184	
47		 |0	   |191		|4	  |90	
48		 |0	   |191		|4	  |90	
49		 |0	   |190		|3	  |183	
50		 |0	   |202		|3 	  |91	
51		 |0	   |191		|4	  |90	
52		 |0	   |190		|3	  |183	
53		 |0	   |190		|3	  |89	
54		 |0	   |191		|4	  |90	
55		 |0	   |191		|4	  |185	
56		 |0	   |190		|3	  |89	
57		 |0	   |190		|3	  |89	
58		 |0	   |191		|4	  |184	
59		 |0	   |190		|3	  |89	
60		 |0	   |191		|4	  |90	
61		 |0	   |190		|3	  |184	
62		 |0	   |282		|3	  |93	
63		 |0	   |190		|3	  |89	
64		 |0	   |190		|3	  |183	
65		 |0	   |190		|3	  |89	
66		 |0	   |191		|4	  |90	
67		 |0	   |191		|4	  |184	
68		 |0	   |202		|4	  |90	
69		 |0	   |190		|3	  |89	
70		 |0	   |190		|3	  |185	
71		 |0	   |191		|4	  |90	
72		 |0	   |190		|3	  |89	
73		 |0	   |190		|3	  |184	
74		 |0	   |191		|4	  |90	
75		 |0	   |202		|3	  |89	
76		 |0	   |190		|3	  |184	
77		 |0	   |190		|3	  |89	
78		 |0	   |190		|3	  |89	
0		 |0	   |190		|10	  |87	
1		 |0	   |191		|4	  |90	
2		 |0	   |191		|4	  |185	
3		 |0	   |190		|3	  |185	
4		 |0	   |191		|4	  |90	
5		 |0	   |191		|4	  |90	
6		 |0	   |191		|4	  |186	
7		 |0	   |190		|3	  |89	
8		 |0	   |190		|3	  |89	
9		 |0	   |190		|3	  |185	
10		 |0	   |191		|4	  |90	
11		 |0	   |190		|3	  |89	
12		 |0	   |191		|4	  |186	
13		 |0	   |190		|3	  |89	
14		 |0	   |191		|4	  |90	
15		 |0	   |191		|4	  |185	
16		 |0	   |190		|3	  |89	
17		 |0	   |190		|3	  |89	
18		 |0	   |191		|4	  |185	
19		 |0	   |190		|3	  |89	
20		 |0	   |190		|3	  |89	
21		 |0	   |191		|4 	  |186	
22		 |0	   |190		|3	  |89	
23		 |0	   |191		|4	  |90	
24		 |0	   |190		|3	  |185	
25		 |0	   |190		|3	  |89	
26		 |0	   |190		|3	  |89	
27		 |0	   |190		|3 	  |185	
28		 |0	   |190		|3	  |89
